Open,High,Low,Close,Volume
13.62,15.22,13.1,14.03,247928100
13.89,13.9,12.16,13.54,212496800
12.17,13.85,11.63,13.82,288234200
12.93,13.68,11.825,12.43,284250300
15.36,15.4899,12.75,13.0,238773100
15.21,15.6,14.24,15.395,258131100
14.94,16.9,14.73,15.15,326957400
14.3,15.24,13.5,14.77,289916700
15.5,16.05,13.11,13.86,243558500
14.26,15.67,13.5,15.63,404150800
12.35,15.89,11.47,14.8,371284100
13.49,16.1,12.38,12.51,502118500
14.15,15.38,11.65,13.31,564297600
15.94,16.28,13.59,13.83,363791400
19.95,19.98,14.86,15.935,398844600
20.42,20.52,17.12,20.04,429062900
18.7,20.44,16.83,20.0,383051800
22.7,22.99,17.01,18.46,689939500
24.13,26.17,21.78,22.66,600644100
15.52,25.05,15.42,23.92,818422100
13.88,15.42,13.86,15.4,280103400
12.1,13.84,11.94,13.609,363482500
11.85,12.24,10.38,12.0205,395079600
9.47,12.36,9.34,11.682,438329100
9.35,10.25,8.65,9.325,485321400
10.24,11.48,8.92,9.19,480914200
12.96,13.11,10.2087,10.21,342314800
15.79,15.88,11.85,13.14,519318000
17.48,18.13,15.7,15.71,427749500
16.21,18.34,16.08,17.4,293695400
15.45,17.9,15.32,16.2,321533100
18.51,18.96,15.15,15.39,322462300
13.13,18.95,13.06,18.68,409291700
11.94,13.91,11.56,13.06,321455400
14.98,14.98,11.9,11.96,387967700
14.51,16.58,13.95,15.03,301908400
13.24,15.03,12.72,14.52,330673100
11.36,13.21,9.71,12.93,399868700
10.55,12.2,10.085,11.29,366978000
11.45,12.39,8.33,10.43,535113300
9.74,12.08,9.37,11.48,440717600
7.95,11.85,7.47,9.86,554715300
7.83,9.97,7.21,8.28,407576600
8.07,9.43,7.08,7.95,381683000
7.17,9.45,6.74,8.07,291967300
8.95,9.11,5.75,7.47,305049200
10.55,10.74,5.97,8.76,511119300
12.85,12.96,8.8,10.71,493061400
11.14,14.12,10.55,12.64,466137200
18.55,18.78,10.7,11.44,569047700
24.7,25.35,18.59,18.72,429096400
20.8,25.31,20.7,24.7,509841300
20.38,21.06,17.61,20.55,415607700
21.36,21.67,17.31,19.79,398398200
24.54,27.59,21.16,21.39,340753600
34.12,34.25,22.33,24.59,387405800
32.0,36.4,31.35,34.02,189535800
34.83,38.2,29.11,31.54,301416700
36.65,39.67,32.56,35.38,266724100
51.39,54.0,31.83,36.24,214122134
45.1,51.35,40.5,51.16,261503271
41.9,47.93,41.77,45.76,173697603
35.03,43.87,34.42,41.31,241007871
33.49,36.0,32.2,34.639,210348803
28.71,33.94,28.28,32.89,225335936
30.33,31.6,28.04,28.78,245387203
30.36,34.91,30.3,31.0,224514870
37.07,37.52,29.911,30.65,284456337
36.58,38.96,34.9,37.01,166812404
34.41,37.29,31.52,36.99,224257537
29.45,34.87,27.67,34.87,226145870
28.68,31.25,26.34,29.59,191621271
21.87,29.52,20.85,29.11,270793004
21.78,22.71,17.17,22.14,201745205
23.24,24.69,19.12,21.29,204582270
29.5,31.88,22.84,22.98,239685937
57.69,61.68,27.73,29.22,182909734
47.13,58.23,46.26,57.26,131478200
44.15,50.72,42.87,47.13,98927100
36.765,46.76,36.65,44.96,79327400
36.45,38.24,35.42,36.56,63861700
33.3,38.5,32.84,36.15,109250300
34.47,35.95,30.51,33.55,78183000
30.59,34.59,29.84,34.28,92492800
27.22,31.06,27.04,30.68,119446200
26.63,29.3,25.42,27.06,113524200
26.92,29.39,25.77,26.72,135052200
22.19,27.91,21.52,27.1,118330800
24.05,24.39,20.92,21.93,81571300
29.12,29.6,23.47,23.76,126071600
22.9,29.29,22.76,28.99,143866000
24.38,24.72,20.46,22.92,114323000
19.28,24.96,19.16,23.56,147107800
14.66,20.53,14.48,19.13,153171700
14.59,15.89,13.08,14.47,136263600
12.3,15.18,12.14,14.52,130200900
15.43,15.7,9.3,12.46,188446700
20.7,20.73,13.84,15.42,97866600
23.11,24.11,19.28,20.47,79374100
20.74,23.58,19.9,23.45,85752800
26.69,27.35,20.44,20.52,103021600
22.19,26.68,20.6319,26.4,109935400
22.43,24.33,21.8879,22.25,98856700
23.57,25.88,21.15,22.25,103346500
21.47,24.2,19.5,23.2,102897400
17.59,22.12,17.41,21.23,148007700
16.02,18.76,15.95,17.64,114903700
18.49,21.47,15.7,15.97,196574600
19.1,21.47,15.26,18.17,181197800
22.62,25.75,18.36,19.09,165869100
26.85,27.75,22.06,22.91,193301500
14.23,26.63,14.15,26.17,310681700
13.15,14.7,12.86,14.27,104817800
12.77,14.83,12.0,12.88,150026300
10.39,13.49,9.33,12.62,177031300
12.0,13.88,9.56,10.32,196076100
18.04,18.27,11.19,11.51,182555600
11.72,17.78,10.22,17.13,284893300
8.63,11.98,7.2,11.9,153038100
9.62,11.9,8.35,8.56,148564500
11.16,13.45,8.49,10.11,200345100
17.1,23.35,10.94,11.07,270668500
32.65,33.65,16.43,17.18,240325800
34.24,40.65,30.71,33.46,231672400
41.9,44.69,30.37,34.81,267488500
51.5,60.49,41.87,44.36,227247700
66.33,66.33,49.25,51.01,258293900
67.2,72.66,59.76,65.74,196576500
54.16,70.25,52.85,66.9,147072000
43.41,55.99,42.75,54.64,239455000
27.45,50.44,22.66,42.86,219810000
84.48,84.48,25.51,27.47,113448750
82.49,90.72,80.25,84.71,124431100
89.08,90.7,67.26,80.9,90018800
86.2,99.6,82.95,92.75,83986500
83.6,100.0,75.55,85.61,116840000
64.75,89.99,53.81,83.3,129595500
44.13,71.69,40.0,64.92,120585300
51.63,61.0,41.0,44.69,48520100
33.0,57.0,28.25,51.63,44702700
43.0,50.75,27.5,32.77,60221700
60.63,80.0,36.38,40.5,36147800
83.0,86.25,52.56,62.14,36839900
81.0,85.38,62.5,81.88,24452400
60.0,82.5,54.0,79.38,25330200
64.0,77.31,50.0,60.0,30334800
117.5,176.0,57.5,63.56,33858300
92.5,117.9,75.5,112.8,18115800
83.72,110.4,57.0,89.13,13503600
64.0,150.0,57.5,84.48,36567000
37.13,68.25,35.75,64.0,19085100
47.25,48.25,35.0,37.06,10294700
34.63,47.44,34.63,46.94,10244900
